,Manufacturer,Model,Year,Motor Liters,Milage,Price
97,Audi,A6,2004,2.5D,340 tūkst.,"1,270  €"
98,Audi,A5,2011,2.0,120 tūkst.,"8,900  €"
99,Audi,Q7,2017,4.0D,118 tūkst.,"50,800  €"
100,Audi,A4,2005,2.0D,-,"3,390  €"
101,Audi,A4,2007,2.0D,-,"3,990  €"
102,Audi,A3,2013,1.6D,-,"8,790  €"
103,Audi,A4,2009,2.0D,273 tūkst.,"7,450  €"
104,Audi,A4,2011,2.0D,268 tūkst.,"6,300  €"
105,Audi,A6,2006,3.0D,281 tūkst.,"4,850  €"
106,Audi,Q5,2017,2.0D,280 tūkst.,"23,495  €"
107,Audi,Q5,2010,3.0D,282 tūkst.,"11,490  €"
108,Audi,S4,2009,3.0,216 tūkst.,"15,500  €"
109,Audi,A3,2007,2.0D,369 tūkst.,"2,790  €"
110,Audi,A4,1998,1.9D,534 tūkst.,800  €
111,Audi,Q7,2013,3.0D,-,"17,490  €"
112,Audi,Q5,2016,3.0D,219 tūkst.,"22,450  €"
113,Audi,A6,2007,3.0D,295 tūkst.,"5,450  €"
114,Audi,E-tron,2021,E,9.6 tūkst.,"58,990  €"
115,Audi,Q7,2006,3.0D,205 tūkst.,"8,700  €"
116,Audi,Q7,2007,3.0D,-,"7,990  €"
117,Audi,A6,2006,2.0D,303 tūkst.,"3,850  €"
118,Audi,Q7,2010,3.0D,-,"11,900  €"
119,Audi,A3,2006,2.0D,316 tūkst.,"3,599  €"
120,Audi,A6,2009,3.0D,268 tūkst.,"8,449  €"
121,Audi,A4,2002,1.8,240 tūkst.,"2,000  €"
122,Audi,A4,2006,2.7D,222 tūkst.,"3,300  €"
123,Audi,80,1994,2.0,356 tūkst.,950  €
124,Audi,A4,2014,3.0D,-,"12,450  €"
125,Audi,A4,2011,2.0D,218 tūkst.,"8,990  €"
126,Audi,A6,2008,2.0,242 tūkst.,"4,200  €"
127,Audi,E-tron,2022,E,31 tūkst.,"90,500  €"
128,Audi,A6,2014,3.0D,-,"14,990  €"
129,Audi,A8,2007,3.0D,-,"7,490  €"
130,Audi,A6,2011,2.7D,382 tūkst.,"1,800  €"
131,Audi,Q5,2018,2.0,71 tūkst.,"31,990  €"
132,Audi,A6,2015,3.0,192 tūkst.,"21,990  €"
133,Audi,Allroad,2012,3.0D,245 tūkst.,"14,150  €"
134,Audi,A6,2007,3.0D,233 tūkst.,"4,880  €"
135,Audi,A4,2006,2.7D,221 tūkst.,"3,500  €"
136,Audi,A6,2005,2.7D,-,"3,800  €"
137,Audi,Q5,2011,2.0D,-,"11,399  €"
138,Audi,A4,2007,2.7D,424 tūkst.,"3,350  €"
139,Audi,A4,1997,1.9D,350 tūkst.,470  €
140,Audi,-,2018,1.6D,194 tūkst.,"17,950  €"
141,Audi,A6,2014,3.0D,245 tūkst.,"12,390  €"
142,Audi,A8,1995,2.8,248 tūkst.,"2,800  €"
143,Audi,100,-,-,-,pērku 
144,Audi,A6,2006,3.0D,307 tūkst.,"4,200  €"
145,Audi,Q7,2016,3.0D,-,"33,750  €"
146,Audi,A6,2008,3.0D,-,"5,950  €"
147,Audi,V40,2014,2.0D,282 tūkst.,"9,295  € maiņai"
148,Audi,A4,2007,2.0D,-,"3,950  €"
149,Audi,A4,2002,1.9D,344 tūkst.,"2,200  €"
150,Audi,A3,2006,1.6,275 tūkst.,"3,200  €"
151,Audi,A4,2005,3.0D,291 tūkst.,"3,600  €"
152,Audi,A6,2008,2.0D,326 tūkst.,"3,990  €"
153,Audi,A6,2014,3.0D,-,"14,950  €"
154,Audi,A8,2012,3.0,176 tūkst.,"14,900  €"
155,Audi,A6,2010,2.7D,294 tūkst.,"6,100  €"
156,Audi,A6,2014,3.0D,304 tūkst.,"12,150  €"
157,Audi,Q5,2015,2.0D,278 tūkst.,"14,390  €"
158,Audi,A3,2002,1.9D,-,"1,200  €"
159,Audi,A8,2005,4.2,359 tūkst.,"4,900  €"
160,Audi,Q7,2012,3.0D,319 tūkst.,"19,900  €"
161,Audi,Quattro,2003,1.8,-,"4,600  €"
162,Audi,A4,2013,2.0D,313 tūkst.,"10,900  €"
163,Audi,A4,2005,3.0D,343 tūkst.,"4,690  €"
164,Audi,A4,2004,2.5D,409 tūkst.,"2,350  € maiņai"
165,Audi,A3,2012,1.6D,272 tūkst.,"6,990  €"
166,Audi,A4,2000,1.9D,370 tūkst.,"2,450  €"
167,Audi,A3,2010,1.6D,407 tūkst.,"5,490  €"
168,Audi,A6,2007,2.7D,362 tūkst.,"4,990  €"
169,Audi,Q7,2007,3.0D,377 tūkst.,"8,790  €"
170,Audi,A4,2005,3.0D,336 tūkst.,"4,990  €"
171,Audi,A3,1997,1.8,406 tūkst.,"1,000  €"
172,Audi,A4,2006,2.0,305 tūkst.,"2,350  €"
173,Audi,80,1993,1.9D,483 tūkst.,"1,850  €"
174,Audi,A8,2005,4.0D,350 tūkst.,"4,000  €"
175,Audi,Quattro,2003,1.8,222 tūkst.,"3,800  €"
176,Audi,A3,2011,1.6D,365 tūkst.,"3,900  €"
177,Audi,A6,2015,3.0D,-,"15,950  €"
178,Audi,A4,2010,3.0D,300 tūkst.,"8,880  €"
179,Audi,A6,2012,2.8,195 tūkst.,"11,000  €"
180,Audi,Q5,2014,3.0D,285 tūkst.,"22,500  €"
181,Audi,A4,2007,2.0D,266 tūkst.,"3,650  €"
182,Audi,Touran,2006,1.9D,312 tūkst.,"2,450  € maiņai"
183,Audi,A4,2006,2.0D,-,"3,990  €"
184,Audi,A6,2006,3.0D,380 tūkst.,"3,000  €"
185,Audi,Quattro,1989,2.2,257 tūkst.,"3,500  €"
186,Audi,A6,2014,3.0D,215 tūkst.,"13,000  €"
187,Audi,A3,2010,2.0D,212 tūkst.,"7,500  €"
188,Audi,A4,2009,2.0D,-,"6,100  €"
189,Audi,A4,2003,2.5D,348 tūkst.,"1,200  €"
190,Audi,Q5,2010,3.0D,192 tūkst.,"13,200  €"
191,Audi,A6,2016,2.0D,207 tūkst.,"18,800  €"
192,Audi,Q5,2014,3.0D,-,"15,300  €"
193,Audi,A5,2007,3.0D,374 tūkst.,"6,290  €"
194,Audi,Q8,2018,3.0D,85 tūkst.,"64,800  €"
195,Audi,A4,2002,1.9D,390 tūkst.,"1,500  €"
196,Audi,A6,2010,2.7D,340 tūkst.,"5,700  €"
197,Audi,A3,2009,2.0D,-,"3,990  €"
198,Audi,Q5,2009,3.0D,-,"10,980  €"
199,Audi,Allroad,2008,3.0D,-,"3,999  €"
200,Audi,Quattro,1998,1.8,260 tūkst.,"2,590  €"
201,Audi,A5,2010,2.7D,228 tūkst.,"9,990  €"
202,Audi,A6,2010,3.0D,275 tūkst.,"8,500  €"
203,Audi,A4,2005,2.0D,395 tūkst.,"2,980  €"
204,Audi,A6,2008,3.0D,313 tūkst.,"4,850  €"
205,Audi,Allroad,2017,3.0D,209 tūkst.,"22,900  €"
206,Audi,A4,2006,2.7D,-,"3,990  €"
207,Audi,Coupe,1991,2.3,300 tūkst.,"2,900  €"
208,Audi,Quattro,1985,2.1,288 tūkst.,"11,460  €"
209,Audi,A6,2017,3.0D,190 tūkst.,"23,000  €"
210,Audi,A6,2013,3.0D,-,"12,250  €"
211,Audi,A6,1998,2.8,500 tūkst.,"1,300  €"
212,Audi,Q7,2017,4.0D,161 tūkst.,"45,900  €"
213,Audi,Q5,2013,3.0D,-,"16,350  €"
214,Audi,A3,2003,2.0D,390 tūkst.,"1,500  €"
215,Audi,A4,2008,2.0D,290 tūkst.,"5,650  €"
216,Audi,A8,2005,3.0D,302 tūkst.,"5,495  €"
217,Audi,A4,2003,1.8,-,"2,490  €"
218,Audi,80,1994,1.9D,-,990  €
219,Audi,A3,2009,1.9D,-,"2,750  €"
220,Audi,A5,2013,3.0D,338 tūkst.,"14,500  €"
221,Audi,A4,-,-,-,pērku 
222,Audi,A3,2007,2.0D,-,"2,790  €"
223,Audi,A6,2007,3.0D,263 tūkst.,"5,950  €"
224,Audi,A6,2007,3.0D,469 tūkst.,"2,950  €"
225,Audi,A3,2002,1.9D,398 tūkst.,"1,550  €"
226,Audi,A6,2010,2.7D,-,"6,450  €"
227,Audi,Quattro,2001,2.8,252 tūkst.,"1,750  €"
228,Audi,A6,2008,2.7D,503 tūkst.,"3,000  €"
229,Audi,A4,-,-,-,pērku 
230,Audi,80,1993,2.0,455 tūkst.,"1,200  €"
231,Audi,Q7,2008,3.0D,300 tūkst.,"10,700  €"
232,Audi,A6,2008,2.7D,-,"4,600  €"
233,Audi,A6,2009,2.7D,-,"5,600  €"
234,Audi,A6,2005,3.2,261 tūkst.,"3,800  €"
235,Audi,A6,2006,3.0D,-,"3,990  €"
236,Audi,A6,2015,2.0D,250 tūkst.,"14,990  €"
237,Audi,A6,-,-,-,pērku 
238,Audi,Q7,-,-,-,pērku 
239,Audi,A4,2003,1.9D,414 tūkst.,"2,200  €"
240,Audi,A6,2005,3.0D,446 tūkst.,"2,800  €"
241,Audi,Quattro,2002,2.5D,330 tūkst.,"2,100  €"
242,Audi,A4,-,-,-,pērku 
243,Audi,A4,2001,3.0,365 tūkst.,"1,790  €"
244,Audi,A3,2009,1.8,232 tūkst.,"5,450  €"
245,Audi,A6,2010,2.7D,-,"6,500  €"
246,Audi,A4,2014,2.0D,280 tūkst.,"9,990  €"
247,Audi,Q7,2006,3.0D,-,"7,750  €"
248,Audi,A4,2012,2.0D,238 tūkst.,"8,900  €"
249,Audi,A4,2017,1.4,87 tūkst.,"16,700  €"
250,Audi,A5,2007,2.7D,-,"6,499  €"
251,Audi,Q7,2011,3.0D,-,"12,500  €"
252,Audi,Quattro,2006,2.0D,324 tūkst.,"4,600  €"
253,Audi,A5,2017,3.0D,173 tūkst.,"25,500  €"
254,Audi,A6,1996,2.5D,-,"1,450  €"
255,Audi,A4,2003,1.9D,260 tūkst.,"2,500  €"
256,Audi,A4,2000,1.9D,303 tūkst.,"2,150  €"
257,Audi,Q5,2012,3.0D,165 tūkst.,"16,000  €"
258,Audi,Q7,2006,3.0D,293 tūkst.,"5,990  €"
259,Audi,A3,2002,1.6,-,"2,490  €"
260,Audi,Caravelle,1999,2.5D,344 tūkst.,"5,200  € maiņai"
261,Audi,A5,2017,2.0D,120 tūkst.,"23,900  €"
262,Audi,Q7,2010,3.0D,268 tūkst.,"12,350  €"
263,Audi,A5,2010,2.7D,247 tūkst.,"7,999  €"
264,Audi,A6,2011,3.0D,-,"12,900  €"
265,Audi,Q7,2019,3.0D,209 tūkst.,"34,990  €"
266,Audi,A3,2000,1.9D,376 tūkst.,"1,300  €"
267,Audi,A3,2008,1.9D,364 tūkst.,"3,050  €"
268,Audi,Q5,2014,3.0D,309 tūkst.,"14,560  €"
269,Audi,A3,2006,2.0D,378 tūkst.,"3,600  €"
270,Audi,A6,2010,2.0D,339 tūkst.,"7,190  €"
271,Audi,A6,-,-,-,pērku 
272,Audi,A3,2015,1.2,140 tūkst.,"10,500  €"
273,Audi,A4,2009,2.0D,-,"4,500  €"
274,Audi,A6,2004,3.0D,222 tūkst.,"5,390  €"
275,Audi,A6,2007,2.7D,432 tūkst.,"3,500  €"
276,Audi,A3,-,-,-,pērku 
277,Audi,Q7,-,-,-,pērku 
278,Audi,A4,-,-,-,pērku 
279,Audi,A4,2009,2.7D,296 tūkst.,"6,700  €"
280,Audi,A6,2019,3.0D,162 tūkst.,"28,900  €"
281,Audi,A4,2003,1.9D,588 tūkst.,"1,500  €"
282,Audi,A6,2011,3.0D,-,"14,500  €"
283,Audi,Q7,2022,3.0,26 tūkst.,"64,000  €"
284,Audi,A6,2011,3.0D,245 tūkst.,"11,500  €"
285,Audi,A3,2004,2.0,239 tūkst.,"1,800  €"
286,Audi,A4,2003,2.5D,314 tūkst.,"1,700  €"
287,Audi,Q7,2016,3.0D,193 tūkst.,"31,500  €"
288,Audi,-,2017,1.6D,173 tūkst.,"13,500  €"
289,Audi,A5,2013,2.0D,215 tūkst.,"9,300  €"
