,Manufacturer,Model,Year,Motor Liters,Milage,Price
3245,BMW,316,1998,1.6,302 tūkst.,"1,450  €"
3246,BMW,320,2009,2.0D,344 tūkst.,"5,600  €"
3247,BMW,330,2003,3.0D,380 tūkst.,"2,880  €"
3248,BMW,330,2001,3.0D,347 tūkst.,"2,950  €"
3249,BMW,520,2014,2.0D,226 tūkst.,"14,200  €"
3250,BMW,318,2008,2.0D,270 tūkst.,"6,250  €"
3251,BMW,325,2009,2.5D,360 tūkst.,"8,500  €"
3252,BMW,520,2013,2.0D,165 tūkst.,"15,000  €"
3253,BMW,530,2014,3.0D,-,"13,990  €"
3254,BMW,318,1985,1.8,270 tūkst.,"3,700  €"
3255,BMW,318,2007,1.8D,315 tūkst.,"3,800  €"
3256,BMW,530,2014,3.0D,250 tūkst.,"17,000  €"
3257,BMW,325,2005,2.5,232 tūkst.,"3,700  €"
3258,BMW,320,2011,2.0D,290 tūkst.,"6,000  €"
3259,BMW,320,2006,2.0D,354 tūkst.,"3,200  €"
3260,BMW,530,2011,3.0D,254 tūkst.,"10,500  €"
3261,BMW,530,2008,3.0D,305 tūkst.,"4,190  €"
3262,BMW,X5,2005,4.4,-,"7,950  €"
3263,BMW,530,2006,3.0D,-,"3,990  €"
3264,BMW,530,2008,3.0D,-,"7,450  €"
3265,BMW,520,2002,2.2,-,"5,500  €"
3266,BMW,745,2006,4.5D,-,"7,490  €"
3267,BMW,X5,2009,3.0D,-,"10,900  €"
3268,BMW,320,2004,2.0D,373 tūkst.,"2,990  €"
3269,BMW,X5,2011,3.0D,200 tūkst.,"14,000  €"
3270,BMW,328,1994,2.8,300 tūkst.,"6,000  €"
3271,BMW,320,2006,2.0,269 tūkst.,"5,200  €"
3272,BMW,325,2001,2.5,288 tūkst.,"3,350  €"
3273,BMW,520,2018,2.0D,88 tūkst.,"31,800  €"
3274,BMW,320,2002,2.0D,270 tūkst.,"2,500  €"
3275,BMW,520,2004,2.2,318 tūkst.,"2,550  €"
3276,BMW,X3,2012,3.0D,-,"13,750  €"
3277,BMW,530,2006,3.0D,339 tūkst.,"3,700  €"
3278,BMW,540,2017,3.0D,229 tūkst.,"37,000  €"
3279,BMW,X3,2012,2.0D,296 tūkst.,"10,000  €"
3280,BMW,120,2010,2.0D,228 tūkst.,"4,650  €"
3281,BMW,120,2008,2.0D,338 tūkst.,"8,150  €"
3282,BMW,528,2013,2.0,234 tūkst.,"8,500  €"
3283,BMW,525,2001,2.5D,365 tūkst.,"2,000  €"
3284,BMW,120,2011,2.0D,213 tūkst.,"8,990  € maiņai"
3285,BMW,530,2007,3.0D,290 tūkst.,"6,200  €"
3286,BMW,120,2008,2.0D,235 tūkst.,"4,100  €"
3287,BMW,530,2017,3.0D,287 tūkst.,"17,990  €"
3288,BMW,530,2002,3.0D,321 tūkst.,"3,250  €"
3289,BMW,535,2011,3.0,204 tūkst.,"12,900  €"
3290,BMW,320,2005,2.0D,-,"5,090  €"
3291,BMW,318,2010,2.0D,403 tūkst.,"4,300  €"
3292,BMW,X6,2016,3.0D,107 tūkst.,"32,990  €"
3293,BMW,116,2011,2.0D,218 tūkst.,"6,800  €"
3294,BMW,316,1995,1.6,339 tūkst.,"1,800  €"
3295,BMW,120,2008,2.0D,214 tūkst.,"5,800  €"
3296,BMW,525,2004,2.5D,350 tūkst.,"3,300  €"
3297,BMW,X3,2013,3.0D,252 tūkst.,"17,500  €"
3298,BMW,530,2008,3.0D,229 tūkst.,"7,500  €"
3299,BMW,530,2013,3.0D,108 tūkst.,"16,800  €"
3300,BMW,530,2009,3.0D,-,"12,500  €"
3301,BMW,535,2010,3.0D,230 tūkst.,"13,900  €"
3302,BMW,320,-,-,-,pērku 
3303,BMW,X3,2013,3.5D,200 tūkst.,"16,995  €"
3304,BMW,X6,2012,3.0D,276 tūkst.,"20,500  €"
3305,BMW,320,2014,2.0D,254 tūkst.,"12,490  €"
3306,BMW,525,2008,3.0,243 tūkst.,"4,800  €"
3307,BMW,520,2013,2.0D,248 tūkst.,"13,000  €"
3308,BMW,i3,2014,E,112 tūkst.,"9,900  €"
3309,BMW,X5,2001,3.0D,348 tūkst.,"3,650  €"
3310,BMW,330,2000,3.0D,378 tūkst.,"1,880  €"
3311,BMW,X5,2004,3.0D,368 tūkst.,"6,200  €"
3312,BMW,420,2016,2.0,277 tūkst.,"18,500  €"
3313,BMW,520,2017,2.0D,290 tūkst.,"20,500  €"
3314,BMW,530,2005,3.0D,250 tūkst.,"3,750  €"
3315,BMW,330,2014,3.0D,190 tūkst.,"15,350  €"
3316,BMW,323,1999,2.3,324 tūkst.,900  €
3317,BMW,320,2008,2.0D,364 tūkst.,"5,600  €"
3318,BMW,X3,2014,2.0D,-,"17,950  €"
3319,BMW,316,2002,1.8,166 tūkst.,"2,950  €"
3320,BMW,525,-,-,-,pērku 
3321,BMW,320,-,-,-,pērku 
3322,BMW,320,2013,2.0D,-,"10,070  €"
3323,BMW,i3,2021,E,30 tūkst.,"23,300  €"
3324,BMW,X5,2009,3.0D,231 tūkst.,"11,000  €"
3325,BMW,320,2014,2.0D,206 tūkst.,"10,900  €"
3326,BMW,740,2002,4.0D,411 tūkst.,"4,100  €"
3327,BMW,X6,2022,3.0,10 tūkst.,"80,900  €"
3328,BMW,X1,2015,2.0D,-,"10,990  €"
3329,BMW,318,2011,2.0D,-,"7,400  €"
3330,BMW,320,2018,2.0D,-,"12,990  €"
3331,BMW,530,2006,3.0D,390 tūkst.,"4,995  €"
3332,BMW,325,1993,2.5,333 tūkst.,"4,000  €"
3333,BMW,X5,2010,3.0D,328 tūkst.,"13,350  €"
3334,BMW,520,2010,2.0D,212 tūkst.,"12,900  €"
3335,BMW,325,2008,3.0D,321 tūkst.,"4,800  €"
3336,BMW,530,2007,3.0D,323 tūkst.,"7,800  €"
3337,BMW,520,2010,2.0D,224 tūkst.,"8,750  €"
3338,BMW,525,2011,2.0D,256 tūkst.,"11,900  €"
3339,BMW,330,2001,3.0D,375 tūkst.,"3,000  €"
3340,BMW,525,2006,2.5D,409 tūkst.,"4,790  €"
3341,BMW,530,2002,3.0D,-,"3,900  €"
3342,BMW,325,2008,2.4D,295 tūkst.,"5,500  €"
3343,BMW,750,2008,4.4,188 tūkst.,"11,500  €"
3344,BMW,530,2003,3.0D,355 tūkst.,"4,990  €"
3345,BMW,330,2003,3.0D,422 tūkst.,"2,200  €"
3346,BMW,320,2002,2.0D,287 tūkst.,"1,799  €"
3347,BMW,X3,2007,3.0D,293 tūkst.,"7,000  €"
3348,BMW,X5,2014,4.0D,310 tūkst.,"24,300  €"
3349,BMW,X6,-,-,-,pērku 
3350,BMW,520,2009,2.0D,307 tūkst.,"5,150  €"
3351,BMW,X1,2012,2.0D,185 tūkst.,"8,500  €"
3352,BMW,645,2004,4.4,264 tūkst.,"9,000  €"
3353,BMW,X1,2010,2.0D,219 tūkst.,"8,290  €"
3354,BMW,i3,2019,E,38 tūkst.,"18,950  €"
3355,BMW,530,2008,3.0D,291 tūkst.,"5,900  €"
3356,BMW,X5,2014,3.0D,-,"24,900  €"
3357,BMW,X5,2014,3.0D,225 tūkst.,"23,000  €"
3358,BMW,530,2002,3.0D,351 tūkst.,"2,300  €"
3359,BMW,320,2005,2.0D,-,"3,400  €"
3360,BMW,118,2005,2.0D,305 tūkst.,"4,250  €"
3361,BMW,740,2017,3.0D,107 tūkst.,"39,900  €"
3362,BMW,Range Rover Sport,2016,3.0D,-,"29,777  € maiņai"
3363,BMW,530,2003,3.0D,377 tūkst.,"5,490  €"
3364,BMW,520,2012,2.0D,239 tūkst.,"10,490  €"
3365,BMW,330,2004,3.0D,280 tūkst.,"3,200  €"
3366,BMW,330,2015,3.0D,190 tūkst.,"16,990  €"
3367,BMW,530,2014,3.0D,225 tūkst.,"15,990  €"
3368,BMW,520,2018,2.0D,190 tūkst.,"20,990  € maiņai"
3369,BMW,320,2018,2.0D,184 tūkst.,"18,800  €"
3370,BMW,X5,2007,3.0D,-,"8,990  €"
3371,BMW,X3,2006,3.0D,-,"6,650  €"
3372,BMW,530,2003,3.0D,-,"4,190  €"
3373,BMW,320,2018,2.0D,166 tūkst.,"22,990  €"
3374,BMW,316,2011,2.0D,257 tūkst.,"4,950  €"
3375,BMW,325,1994,2.5,340 tūkst.,"1,800  €"
3376,BMW,320,2013,2.0D,250 tūkst.,"12,000  €"
3377,BMW,750,2009,4.4,179 tūkst.,"13,000  €"
3378,BMW,i3,2016,E,46 tūkst.,"17,600  €"
3379,BMW,316,2012,2.0D,230 tūkst.,"5,300  € maiņai"
3380,BMW,530,2017,3.0D,222 tūkst.,"19,700  €"
3381,BMW,X1,2010,2.0,-,"5,300  €"
3382,BMW,530,2006,3.0D,-,"3,250  €"
3383,BMW,530,2010,3.0D,-,"14,200  €"
3384,BMW,525,2007,3.0D,-,"3,650  €"
3385,BMW,520,2008,2.0D,-,"4,990  €"
3386,BMW,525,2013,2.0D,-,"11,950  €"
3387,BMW,525,2007,3.0D,-,"4,950  €"
3388,BMW,X3,2007,3.0D,216 tūkst.,"5,500  €"
3389,BMW,116,2018,1.5D,230 tūkst.,"9,890  €"
3390,BMW,X4,2022,3.0D,31 tūkst.,"62,990  €"
3391,BMW,730,2013,3.0D,-,"17,200  €"
3392,BMW,318,2014,2.0D,238 tūkst.,"13,450  €"
3393,BMW,X3,2009,2.0D,201 tūkst.,"7,950  €"
3394,BMW,730,2003,3.0D,-,"4,490  €"
3395,BMW,120,2004,2.0D,-,"3,990  €"
3396,BMW,325,2009,3.0D,327 tūkst.,"7,400  €"
3397,BMW,E200,2014,2.2D,299 tūkst.,"12,990  € maiņai"
3398,BMW,530,2002,3.0D,-,"2,890  €"
3399,BMW,M2,2016,3.0,248 tūkst.,"17,500  €"
3400,BMW,X5,2014,3.0D,142 tūkst.,"26,900  €"
3401,BMW,525,2010,3.0D,271 tūkst.,"10,000  €"
3402,BMW,316,2003,1.8,217 tūkst.,"1,350  €"
3403,BMW,530,2008,3.0D,300 tūkst.,"5,500  €"
3404,BMW,X3,2011,3.0D,206 tūkst.,"14,500  €"
3405,BMW,118,2007,2.0D,268 tūkst.,"2,900  €"
3406,BMW,520,2013,2.0D,-,"9,290  €"
3407,BMW,320,2005,2.0D,-,"4,450  €"
3408,BMW,X3,2011,2.0D,198 tūkst.,"10,900  €"
3409,BMW,X5,2008,3.0D,202 tūkst.,"11,800  €"
3410,BMW,X4,2018,4.0D,92 tūkst.,"48,500  €"
3411,BMW,X5,2012,3.0D,344 tūkst.,"15,500  €"
3412,BMW,X4,2020,2.0,35 tūkst.,"45,900  €"
3413,BMW,318,2022,2.0,27 tūkst.,"34,900  €"
3414,BMW,318,2002,2.0,284 tūkst.,"2,180  €"
3415,BMW,X5,2008,3.0D,270 tūkst.,"10,500  €"
3416,BMW,530,2014,3.0D,274 tūkst.,"14,400  €"
3417,BMW,118,2008,2.0D,320 tūkst.,"4,250  €"
3418,BMW,330,2014,3.0D,176 tūkst.,"16,990  €"
3419,BMW,330,2019,3.0D,211 tūkst.,"23,900  €"
3420,BMW,X5,2023,3.0D,15 tūkst.,"99,990  €"
3421,BMW,325,2007,3.0D,342 tūkst.,"5,250  €"
3422,BMW,330,2004,3.0D,413 tūkst.,"3,650  € maiņai"
3423,BMW,320,2005,2.0D,316 tūkst.,"2,300  €"
3424,BMW,X5,2019,3.0D,156 tūkst.,"48,700  €"
3425,BMW,X5,2019,3.0D,156 tūkst.,"48,700  €"
3426,BMW,X3,2018,2.0D,125 tūkst.,"34,600  €"
3427,BMW,320,2016,2.0D,215 tūkst.,"15,990  €"
3428,BMW,120,2004,2.0,320 tūkst.,"2,000  €"
3429,BMW,530,2006,3.0D,320 tūkst.,"4,500  €"
3430,BMW,550,2016,3.0D,230 tūkst.,"20,900  €"
3431,BMW,118,2011,2.0D,225 tūkst.,"6,000  €"
3432,BMW,220,2019,2.0D,136 tūkst.,"19,400  €"
3433,BMW,X3,-,-,-,pērku 
3434,BMW,530,2010,3.0D,244 tūkst.,"14,250  €"
3435,BMW,320,2002,2.0D,260 tūkst.,"3,000  €"
3436,BMW,330,2007,3.0D,402 tūkst.,"5,000  €"
3437,BMW,530,-,-,-,pērku 
3438,BMW,120,-,-,-,pērku 
3439,BMW,530,-,-,-,pērku 
3440,BMW,X5,-,-,-,pērku 
3441,BMW,320,2008,2.0D,386 tūkst.,"4,495  €"
3442,BMW,740,2010,3.0D,214 tūkst.,"12,950  €"
3443,BMW,535,2013,3.5D,257 tūkst.,"16,900  €"
3444,BMW,730,2007,3.0D,306 tūkst.,"5,850  €"
3445,BMW,X5,2003,3.0D,230 tūkst.,"4,000  €"
3446,BMW,325,2007,3.0D,282 tūkst.,"5,150  €"
3447,BMW,318,2002,2.0,284 tūkst.,"1,850  €"
3448,BMW,530,2017,3.0D,183 tūkst.,"28,400  €"
3449,BMW,320,2020,2.0,-,"25,900  €"
3450,BMW,320,2017,2.0,172 tūkst.,"18,600  €"
3451,BMW,320,2013,2.0D,-,"10,500  €"
3452,BMW,X5,2012,3.0D,275 tūkst.,"14,999  €"
3453,BMW,530,2013,3.0D,280 tūkst.,"16,500  €"
3454,BMW,320,2018,2.0,66 tūkst.,"22,000  €"
3455,BMW,118,2008,2.0,232 tūkst.,"5,300  €"
3456,BMW,420,2015,2.0D,101 tūkst.,"22,600  €"
3457,BMW,X5,2007,3.0D,-,"9,950  €"
3458,BMW,318,2009,2.0D,321 tūkst.,"5,000  €"
3459,BMW,520,2012,2.0D,-,"9,350  €"
3460,BMW,530,2002,-,-,pērku 
3461,BMW,330,-,-,-,pērku 
3462,BMW,740,2010,3.0D,180 tūkst.,"14,500  €"
3463,BMW,525,2005,2.5D,367 tūkst.,"2,950  €"
3464,BMW,335,2016,3.0D,234 tūkst.,"18,500  €"
3465,BMW,X1,2010,2.0D,247 tūkst.,"6,800  €"
3466,BMW,330,2006,3.0D,375 tūkst.,"3,890  €"
3467,BMW,530,2010,3.0D,-,"13,200  €"
3468,BMW,320,2003,2.0D,346 tūkst.,"1,400  €"
3469,BMW,X6,-,-,-,pērku 
3470,BMW,530,2001,3.0D,460 tūkst.,"2,000  €"
3471,BMW,325,2001,2.5,267 tūkst.,"2,250  €"
3472,BMW,X4,2018,3.0,135 tūkst.,"44,000  €"
3473,BMW,740,2012,3.0D,230 tūkst.,"16,500  €"
3474,BMW,330,-,-,-,pērku 
3475,BMW,X5,-,-,-,pērku 
3476,BMW,X5,2003,3.0,211 tūkst.,"5,750  €"
3477,BMW,X3,2006,2.0D,-,"6,950  €"
3478,BMW,520,2008,2.0D,275 tūkst.,"6,500  €"
3479,BMW,X5,2006,3.0D,274 tūkst.,"6,200  €"
3480,BMW,535,2005,3.0D,411 tūkst.,"3,800  €"
3481,BMW,120,2008,2.0D,230 tūkst.,"7,700  € maiņai"
3482,BMW,325,2008,2.5D,320 tūkst.,"6,500  €"
3483,BMW,X5,2007,3.0D,380 tūkst.,"10,000  €"
3484,BMW,318,2010,2.0D,291 tūkst.,"5,690  €"
3485,BMW,530,2014,3.0D,252 tūkst.,"16,200  €"
3486,BMW,525,2007,3.0D,-,"5,300  €"
3487,BMW,525,2009,3.0D,-,"7,555  €"
3488,BMW,X1,2017,2.0D,-,"18,450  €"
3489,BMW,X5,2017,3.0D,159 tūkst.,"34,500  €"
3490,BMW,X5,2019,3.0D,114 tūkst.,"56,000  €"
3491,BMW,535,2012,3.0D,182 tūkst.,"16,300  €"
3492,BMW,535,1996,3.5,278 tūkst.,"4,800  € maiņai"
3493,BMW,525,2011,3.0D,-,"9,900  €"
3494,BMW,320,2006,2.0D,267 tūkst.,"3,990  €"
3495,BMW,320,2007,2.0D,261 tūkst.,"5,500  €"
3496,BMW,320,2012,2.0D,277 tūkst.,"7,990  €"
3497,BMW,318,2017,2.0D,190 tūkst.,"17,500  €"
3498,BMW,730,2006,3.0D,-,"4,650  €"
3499,BMW,520,2014,2.0D,230 tūkst.,"14,790  €"
3500,BMW,316,2003,1.8,255 tūkst.,"2,750  €"
3501,BMW,530,2012,3.0D,225 tūkst.,"14,450  €"
3502,BMW,318,2002,2.0,255 tūkst.,"2,250  €"
3503,BMW,X3,2019,2.0D,93 tūkst.,"36,000  €"
3504,BMW,530,2012,3.0D,-,"12,950  €"
3505,BMW,530,2008,3.0D,-,"7,250  €"
3506,BMW,Cayenne,2012,3.0D,214 tūkst.,"18,250  € maiņai"
3507,BMW,730,2003,3.0D,300 tūkst.,"4,300  €"
3508,BMW,X3,2011,2.0D,278 tūkst.,"11,900  €"
3509,BMW,535,2012,3.0D,-,"13,990  €"
3510,BMW,i3,2014,E,158 tūkst.,"12,950  €"
3511,BMW,525,2003,2.5,285 tūkst.,"2,400  €"
3512,BMW,120,2005,2.0D,295 tūkst.,"4,800  €"
3513,BMW,330,-,-,-,pērku 
3514,BMW,530,-,-,-,pērku 
3515,BMW,X6,-,-,-,pērku 
3516,BMW,335,-,-,-,pērku 
3517,BMW,530,2008,3.0D,295 tūkst.,"6,300  €"
3518,BMW,325,2008,3.0D,348 tūkst.,"7,450  €"
3519,BMW,Citi,-,-,-,pērku 
3520,BMW,318,2013,2.0D,340 tūkst.,"13,000  €"
3521,BMW,320,2012,2.0D,-,"6,999  €"
3522,BMW,320,2018,2.0D,48 tūkst.,"23,500  €"
3523,BMW,X1,2011,2.0D,-,"8,390  €"
3524,BMW,318,2006,2.0D,292 tūkst.,"3,000  €"
3525,BMW,320,2007,2.0D,277 tūkst.,"4,750  €"
3526,BMW,216,2018,1.6D,209 tūkst.,"15,250  €"
3527,BMW,320,2002,2.0D,450 tūkst.,"1,350  €"
3528,BMW,520,2013,2.0D,168 tūkst.,"13,200  €"
3529,BMW,120,2011,2.0D,256 tūkst.,"8,000  €"
3530,BMW,X5,2011,3.0D,260 tūkst.,"15,900  €"
3531,BMW,X6,2017,3.0D,122 tūkst.,"41,900  €"
3532,BMW,520,2008,2.0D,248 tūkst.,"5,950  €"
3533,BMW,X1,2009,2.0D,280 tūkst.,"7,650  €"
3534,BMW,X5,2010,3.0D,200 tūkst.,"11,750  €"
3535,BMW,525,2010,3.0D,233 tūkst.,"9,490  €"
3536,BMW,X3,2004,3.0D,373 tūkst.,"4,150  €"
3537,BMW,530,2014,3.0D,286 tūkst.,"15,250  €"
3538,BMW,525,2005,2.5D,280 tūkst.,"5,300  €"
3539,BMW,535,2006,3.5D,301 tūkst.,"6,400  €"
3540,BMW,530,2011,3.0D,295 tūkst.,"12,500  €"
3541,BMW,X3,2014,3.0D,-,"13,990  €"
3542,BMW,216,2015,1.5D,150 tūkst.,"13,000  €"
3543,BMW,525,2005,2.5D,298 tūkst.,"3,800  €"
3544,BMW,520,2018,2.0D,-,"20,700  €"
3545,BMW,X5,2005,3.0D,234 tūkst.,"8,900  €"
3546,BMW,X6,2012,3.0D,120 tūkst.,"20,500  €"
3547,BMW,520,2013,2.0D,272 tūkst.,"12,000  €"
3548,BMW,530,2006,3.0D,295 tūkst.,"5,300  €"
3549,BMW,318,2004,1.8D,437 tūkst.,"2,200  €"
3550,BMW,X5,2008,3.0D,358 tūkst.,"9,250  €"
3551,BMW,320,2013,2.0D,277 tūkst.,"8,250  €"
3552,BMW,525,2010,3.0D,-,"11,500  €"
3553,BMW,X1,2011,2.0D,306 tūkst.,"7,400  €"
3554,BMW,520,2011,2.0D,-,"9,500  €"
3555,BMW,320,2002,2.0D,261 tūkst.,"3,000  €"
3556,BMW,X6,2011,3.0D,181 tūkst.,"24,000  €"
3557,BMW,730,2016,3.0D,179 tūkst.,"35,900  €"
3558,BMW,318,2010,2.0D,397 tūkst.,"5,200  €"
3559,BMW,320,2007,2.0D,294 tūkst.,"6,600  €"
3560,BMW,320,2011,2.0D,235 tūkst.,"6,950  €"
3561,BMW,X3,2014,2.0D,216 tūkst.,"14,900  €"
3562,BMW,525,2005,2.5D,301 tūkst.,"5,000  €"
3563,BMW,X5,2000,3.0,453 tūkst.,"3,600  €"
3564,BMW,X3,2012,2.0D,-,"11,300  €"
3565,BMW,216,2016,1.5D,311 tūkst.,"8,500  €"
3566,BMW,530,2002,3.0D,400 tūkst.,"3,000  €"
3567,BMW,730,2003,3.0D,377 tūkst.,"3,500  €"
3568,BMW,535,2009,3.5,190 tūkst.,"12,000  €"
3569,BMW,X5,2012,3.0D,269 tūkst.,"14,400  € maiņai"
3570,BMW,X5,2006,3.0D,371 tūkst.,"6,850  € maiņai"
3571,BMW,520,2013,2.0D,283 tūkst.,"14,790  €"
3572,BMW,525,2010,3.0D,244 tūkst.,"10,500  €"
3573,BMW,X3,2007,3.0D,294 tūkst.,"6,200  €"
3574,BMW,320,2000,2.0D,259 tūkst.,"1,200  €"
3575,BMW,318,2005,1.8,341 tūkst.,"1,750  €"
3576,BMW,X3,2011,2.0D,216 tūkst.,"11,800  €"
3577,BMW,525,2010,3.0D,236 tūkst.,"12,000  €"
3578,BMW,320,2009,2.0D,377 tūkst.,"4,700  €"
3579,BMW,X1,2009,2.0D,182 tūkst.,"8,999  €"
3580,BMW,330,2002,3.0D,369 tūkst.,"2,980  €"
3581,BMW,320,2003,2.0D,-,"2,400  €"
3582,BMW,500,2008,1.3D,216 tūkst.,"4,500  € maiņai"
3583,BMW,318,2012,2.0D,303 tūkst.,"11,000  €"
3584,BMW,X3,2018,2.0D,198 tūkst.,"25,900  €"
3585,BMW,640,2018,3.0D,126 tūkst.,"36,000  €"
3586,BMW,320,2019,2.0D,-,"31,300  € maiņai"
3587,BMW,530,2005,3.0D,411 tūkst.,"2,990  €"
3588,BMW,320,2012,2.0D,-,"12,590  €"
3589,BMW,535,2010,3.5D,-,"12,590  €"
3590,BMW,X5,2011,4.0D,152 tūkst.,"19,900  €"
3591,BMW,318,2011,2.0D,220 tūkst.,"7,200  €"
3592,BMW,X4,2020,3.0D,95 tūkst.,"43,990  €"
3593,BMW,320,2013,2.0D,-,"12,390  €"
3594,BMW,320,2009,2.0D,-,"5,850  € maiņai"
3595,BMW,120,2012,2.0D,-,"9,590  €"
3596,BMW,320,2009,2.0D,-,"5,790  €"
3597,BMW,320,2020,2.0,98 tūkst.,"31,990  €"
3598,BMW,320,2019,2.0D,113 tūkst.,"33,490  €"
3599,BMW,530,2019,3.0D,142 tūkst.,"29,990  €"
3600,BMW,730,2005,3.0D,444 tūkst.,"5,900  €"
3601,BMW,330,-,-,-,pērku 
3602,BMW,120,2008,2.0D,309 tūkst.,"4,850  €"
3603,BMW,325,-,-,-,pērku 
3604,BMW,X5,2014,3.0D,192 tūkst.,"29,900  €"
3605,BMW,530,2007,3.0D,326 tūkst.,"4,600  €"
3606,BMW,535,-,-,-,pērku 
3607,BMW,530,-,-,-,pērku 
3608,BMW,X5,-,-,-,pērku 
3609,BMW,X6,-,-,-,pērku 
3610,BMW,323,-,-,-,pērku 
3611,BMW,730,-,-,-,pērku 
3612,BMW,525,-,-,-,pērku 
3613,BMW,730,-,-,-,pērku 
3614,BMW,120,-,-,-,pērku 
3615,BMW,X6,-,-,-,pērku 
3616,BMW,X3,-,-,-,pērku 
3617,BMW,X5,-,-,-,pērku 
3618,BMW,318,-,-,-,pērku 
3619,BMW,530,-,-,-,pērku 
3620,BMW,320,-,-,-,pērku 
3621,BMW,320,2009,2.0D,293 tūkst.,"5,490  €"
3622,BMW,523,1996,2.5,472 tūkst.,"1,000  €"
3623,BMW,525,2011,3.0D,317 tūkst.,"10,200  €"
3624,BMW,525,2014,2.0D,-,"13,750  €"
3625,BMW,330,2013,3.0D,380 tūkst.,"12,900  €"
3626,BMW,525,2007,3.0D,260 tūkst.,"4,500  €"
3627,BMW,525,2003,2.5D,367 tūkst.,"2,650  €"
3628,BMW,530,2002,3.0D,-,"2,850  €"
3629,BMW,X3,2007,3.0D,248 tūkst.,"7,500  €"
3630,BMW,328,2002,2.8,238 tūkst.,100  €
3631,BMW,318,2008,2.0D,314 tūkst.,"4,200  €"
3632,BMW,116,2015,1.6D,275 tūkst.,"13,500  €"
3633,BMW,320,1999,2.0,350 tūkst.,"2,350  €"
3634,BMW,X5,2004,4.4,369 tūkst.,"3,500  €"
3635,BMW,318,2010,2.0D,339 tūkst.,"5,370  €"
3636,BMW,X5,2007,3.0D,270 tūkst.,"10,800  €"
3637,BMW,330,2005,3.0,221 tūkst.,"7,700  €"
3638,BMW,530,2012,3.0D,307 tūkst.,"11,999  €"
3639,BMW,118,2014,2.0D,219 tūkst.,"11,900  €"
3640,BMW,530,2004,3.0D,340 tūkst.,"4,000  €"
3641,BMW,320,2011,2.0D,256 tūkst.,"8,990  €"
3642,BMW,120,2009,2.0D,195 tūkst.,"3,970  €"
3643,BMW,320,2002,2.0D,401 tūkst.,900  €
3644,BMW,X5,2009,3.0D,-,"9,780  €"
3645,BMW,535,1996,3.5,380 tūkst.,"3,200  €"
3646,BMW,420,2017,2.0D,92 tūkst.,"20,900  €"
3647,BMW,116,2013,1.6D,230 tūkst.,"8,500  €"
3648,BMW,320,2017,2.0D,123 tūkst.,"17,490  €"
3649,BMW,X5,2007,3.0D,250 tūkst.,"8,750  €"
3650,BMW,730,2009,3.0D,250 tūkst.,"13,000  €"
3651,BMW,525,2013,2.5D,-,"11,750  €"
3652,BMW,525,2004,2.5D,211 tūkst.,"3,990  €"
3653,BMW,118,2020,1.5,34 tūkst.,"22,999  €"
3654,BMW,118,2020,1.5,52 tūkst.,"23,499  €"
3655,BMW,118,2020,1.5,10 tūkst.,"24,999  €"
3656,BMW,528,2014,2.0,147 tūkst.,"14,250  €"
3657,BMW,X5,2016,3.0D,132 tūkst.,"28,899  €"
3658,BMW,320,2009,2.0D,171 tūkst.,"8,799  €"
3659,BMW,525,1996,2.5D,318 tūkst.,700  €
3660,BMW,320,2013,2.0D,184 tūkst.,"12,999  €"
3661,BMW,330,2018,3.0D,80 tūkst.,"23,999  €"
3662,BMW,530,2017,3.0D,91 tūkst.,"28,999  €"
3663,BMW,330,2015,3.0D,-,"15,990  €"
3664,BMW,i3,2015,E,59 tūkst.,"12,499  €"
3665,BMW,320,2017,2.0D,250 tūkst.,"12,899  €"
3666,BMW,520,2018,2.0D,175 tūkst.,"24,500  €"
3667,BMW,730,2003,3.0D,396 tūkst.,"2,400  €"
3668,BMW,523,2012,3.0,242 tūkst.,"11,790  €"
3669,BMW,320,2004,2.0D,323 tūkst.,"2,350  €"
3670,BMW,525,2011,2.0D,318 tūkst.,"10,200  €"
3671,BMW,X3,2019,2.0,136 tūkst.,"34,900  €"
3672,BMW,320,2014,2.0D,217 tūkst.,"15,850  €"
3673,BMW,X1,2013,2.0D,191 tūkst.,"9,600  €"
3674,BMW,X3,2013,2.0D,319 tūkst.,"13,400  €"
3675,BMW,X1,2011,2.0D,244 tūkst.,"8,490  €"
3676,BMW,525,2003,2.5D,327 tūkst.,"2,850  €"
3677,BMW,530,2006,3.0D,344 tūkst.,"4,490  €"
3678,BMW,545,2004,4.4,210 tūkst.,"13,999  €"
3679,BMW,X7,2022,4.4,6.2 tūkst.,"124,777  €"
3680,BMW,520,2018,2.0D,168 tūkst.,"23,500  €"
3681,BMW,320,2005,2.0D,288 tūkst.,"2,400  €"
3682,BMW,550,2012,3.0D,237 tūkst.,"15,950  €"
3683,BMW,X3,2010,2.0D,267 tūkst.,"8,950  €"
3684,BMW,320,1996,2.0,369 tūkst.,"2,500  €"
3685,BMW,X5,2022,3.0D,47 tūkst.,"77,480  €"
3686,BMW,530,2015,3.0D,237 tūkst.,"14,900  €"
3687,BMW,X6,2015,3.0D,183 tūkst.,"33,950  €"
3688,BMW,530,2010,3.0D,217 tūkst.,"11,999  €"
3689,BMW,X5,2011,3.0D,216 tūkst.,"14,899  €"
3690,BMW,520,2012,2.0D,332 tūkst.,"9,350  €"
3691,BMW,330,-,-,-,pērku 
3692,BMW,X5,-,-,-,pērku 
