,Region,Area,Nr of rooms,m2,Floor,House type,Price
0,Rīga,Daugavgrīva Birzes 46,2,56,3/4,103.,280  €/mēn.
1,Rīga,centrs Kalpaka bulv. 7,2,79,3/6,Renov.,"245,000  €"
2,Rīga,Imanta Anniņmuižas 38k-4,2,57,6/17,Jaun.,"111,000  €"
3,Rīga,Ziepniekkalns Ozolciema 48,1,40,1/9,602.,"38,250  €"
4,Rīga,Āgenskalns Krūzes 2,1,26,2/2,P. kara,200  €/mēn.
5,Rīga,Imanta Anniņmuižas 38 k-4,2,70,13/18,Jaun.,"109,000  €"
6,Rīga,Teika Brīvības 281,4,75,5/5,Specpr.,"80,700  €"
7,Rīga,Imanta Imantas 1. l. 19,1,25,1/1,Priv. m.,230  €/mēn.
8,Rīga,Ķengarags Prūšu 26,2,48,1/3,Renov.,340  €/mēn.
9,Rīga,Imanta,Citi,-,-,-,pērku 
10,Rīga,Iļģuciems,Citi,-,-,-,pērku 
11,Rīga,Maskavas priekšpilsēta,Citi,-,-,-,pērku 
12,Rīga,Maskavas priekšpilsēta Kalna 13,1,30,3/5,P. kara,200  €/mēn.
13,Rīga,Ziepniekkalns,Citi,-,-,-,pērku 
14,Rīga,Āgenskalns,Citi,-,-,-,pērku 
15,Rīga,Āgenskalns Smiļģa 10,2,60,1/3,Renov.,600  €/mēn.
16,Rīga,centrs Vaļņu 19,2,70,3/7,Renov.,700  €/mēn.
17,Rīga,centrs Miera 95,3,86,6/7,P. kara,550  €/mēn.
18,Rīga,Sarkandaugava Sīmaņa 3C,3,63,2/2,P. kara,"40,900  €"
19,Rīga,Purvciems Pūces 47,2,56,6/7,Jaun.,"105,000  €"
20,Rīga,Purvciems Zvaigznāja g. 10,1,30,2/5,LT proj.,"48,500  €"
21,Rīga,Iļģuciems Dzirciema 7,2,50,5/5,LT proj.,"40,500  €"
22,Rīga,Ziepniekkalns Graudu 30,1,29,4/5,Hrušč.,250  €/mēn.
23,Rīga,centrs Čaka 26,3,62,5/6,Renov.,950  €/mēn.
24,Rīga,Purvciems Dzelzavas 35/1,3,63,3/5,Jaun.,"129,990  €"
25,Rīga,Āgenskalns,2,-,-,-,vēlos īret 
26,Rīga,Ķengarags Maskavas 261,2,26,3/5,Renov.,320  €/mēn.
27,Rīga,Mežaparks Siguldas pr. 48,4,187,2/3,Priv. m.,"420,000  €"
28,Rīga,Bolderāja Kvarca 3,1,17,1/2,Renov.,200  €/mēn.
29,Rīga,Jugla Tirzas 3/k-6,1,29,1/5,Hrušč.,260  €/mēn.
30,Rīga,centrs Ģertrūdes 91,3,82,2/5,P. kara,"130,000  €"
31,Rīga,Purvciems Nīcgales 49,1,30,5/5,LT proj.,300  €/mēn.
32,Rīga,centrs Vaļņu 19,1,38,4/7,Renov.,500  €/mēn.
33,Rīga,Āgenskalns M. Nometņu 1,5,143,2/4,Jaun.,"315,000  €"
34,Rīga,centrs Avotu 6,2,28,2/2,Priv. m.,250  €/mēn.
35,Rīga,centrs Lāčplēša 68,2,56,6/6,P. kara,490  €/mēn.
36,Rīga,Ziepniekkalns Valdeķu 68,2,48,9/9,602.,289  €/mēn.
37,Rīga,Ķengarags,2,-,-,-,pērku 
38,Rīga,Daugavgrīva Esplanādes 5,2,46,4/5,103.,"24,000  €"
39,Rīga,centrs Maskavas 106,3,46,3/3,Renov.,490  €/mēn.
40,Rīga,Purvciems Madonas 2,3,66,5/5,Jaun.,"99,000  €"
41,Rīga,centrs Ģertrūdes 105 k-1,5,190,7/7,Specpr.,"198,000  €"
42,Rīga,Brekši Juglasciema b. 54,2,79,1/2,Jaun.,"165,000  €"
43,Rīga,Teika,2,-,-,-,vēlos īret 
44,Rīga,Zolitūde,2,-,-,-,vēlos īret 
45,Rīga,Jugla Kvēles 27,1,31,5/5,Hrušč.,"29,000  €"
46,Rīga,centrs Kalniņa 4,2,48,2/5,Jaun.,660  €/mēn.
47,Rīga,centrs Vidus 11,3,124,3/5,P. kara,"1,100  €/mēn."
48,Rīga,Jugla Brīvības 375,1,25,1/2,P. kara,"18,500  €"
49,Rīga,centrs Pulkv. Brieža 43,2,82,3/3,Renov.,"184,008  €"
50,Rīga,Daugavgrīva Parādes 22,2,42,2/5,Hrušč.,300  €/mēn.
51,Rīga,Purvciems Dzelzavas 73,2,50,9/9,467.,260  €/mēn.
52,Rīga,Jugla Baltezera 7,4,74,2/5,Specpr.,"85,000  €"
53,Rīga,Mežciems Druvienas 21,2,51,5/5,LT proj.,"36,500  €"
54,Rīga,Ķengarags,Citi,-,-,-,pērku 
55,Rīga,Šampēteris-Pleskodāle,Citi,-,-,-,pērku 
56,Rīga,Āgenskalns,Citi,-,-,-,pērku 
57,Rīga,centrs Krāsotāju 24,2,44,3/5,P. kara,420  €/mēn.
58,Rīga,Pļavnieki Praulienas 12,1,35,4/9,467.,220  €/mēn.
59,Rīga,centrs Tērbatas 38,2,110,7/7,P. kara,850  €/mēn.
60,Rīga,centrs Vīlandes 16,4,113,3/6,Renov.,"1,000  €/mēn."
61,Rīga,Jugla Vangažu 37,2,44,10/12,Čehu pr.,330  €/mēn.
62,Rīga,centrs Bruņinieku 96,1,30,5/5,P. kara,"22,000  €"
63,Rīga,Ķengarags Aviācijas 23/1,1,33,5/12,Specpr.,"33,000  €"
64,Rīga,Purvciems Ķeguma 60,1,40,3/5,M. ģim.,"31,500  €"
65,Rīga,centrs Čaka 114,6,137,2/5,P. kara,"174,000  €"
66,Rīga,Purvciems Dzelzavas 76,2,50,5/9,602.,pērku 
67,Rīga,centrs Ģertrūdes 65/2,3,52,2/7,Jaun.,"125,000  €"
68,Rīga,Ķengarags,3,-,-,-,vēlos īret 
69,Rīga,Ķengarags,2,-,-,-,vēlos īret 
70,Rīga,Purvciems,3,-,-,-,vēlos īret 
71,Rīga,Purvciems,2,-,-,-,vēlos īret 
72,Rīga,Āgenskalns,2,-,-,-,vēlos īret 
73,Rīga,Imanta,3,-,-,-,vēlos īret 
74,Rīga,Imanta,2,-,-,-,vēlos īret 
75,Rīga,Pļavnieki Dravnieku 6,2,50,5/9,602.,"44,500  €"
76,Rīga,centrs Ģertrūdes 65/3,1,40,1/6,Jaun.,"55,000  €"
77,Rīga,centrs Duntes 24,1,26,2/2,P. kara,"16,800  €"
78,Rīga,Ķengarags Maskavas 268 k2,2,45,5/5,LT proj.,"36,000  €"
79,Rīga,Iļģuciems Dzirciema 61,3,58,2/9,467.,"72,000  €"
80,Rīga,centrs Dzirnavu 134,4,115,3/3,Specpr.,797  €/mēn.
81,Rīga,Dzegužkalns Daugavgrīvas 70 к-4,2,48,2/5,Specpr.,220  €/mēn.
82,Rīga,Teika Ķeguma 39,3,74,1/4,Jaun.,"195,800  €"
83,Rīga,Teika Ķeguma 39,2,42,2/4,Jaun.,"128,000  €"
84,Rīga,centrs Lāčplēša 52,3,56,2/5,P. kara,"76,000  €"
85,Rīga,centrs Elizabetes 18,3,103,3/6,Renov.,"2,472  €/mēn."
86,Rīga,Pļavnieki Tīnūžu 10,2,50,7/9,602.,45  €/dienā
87,Rīga,centrs Vesetas 12,2,68,4/8,Specpr.,"120,000  €"
88,Rīga,centrs Valdemāra 57/59,3,94,7/7,P. kara,"143,000  €"
89,Rīga,Purvciems Stirnu 57,2,45,3/5,LT proj.,"50,500  €"
90,Rīga,centrs Lāčplēša 36,2,58,4/6,Renov.,"87,500  €"
91,Rīga,Vecrīga Kaļķu 2,3,80,4/5,Staļina,"250,000  €"
92,Rīga,centrs Artilērijas 21,1,31,2/2,P. kara,250  €/mēn.
93,Rīga,centrs Ģertrūdes 65/3,1,38,1/6,Jaun.,"49,000  €"
94,Rīga,centrs Avotu 73,2,50,3/5,P. kara,340  €/mēn.
95,Rīga,Pļavnieki Ulbrokas 22,2,50,6/9,602.,350  €/mēn.
96,Rīga,Purvciems Braslas 53,2,53,5/5,Jaun.,375  €/mēn.
97,Rīga,centrs Rūpniecības 16,2,60,4/6,P. kara,"119,000  €"
98,Rīga,centrs Čaka 114,1,16,2/5,P. kara,220  €/mēn.
99,Rīga,centrs Cēsu 41k1,4,74,2/2,P. kara,"66,000  €"
100,Rīga,Maskavas priekšpilsēta Katoļu 9,2,37,4/5,P. kara,"65,000  €"
101,Rīga,centrs Barona 21,2,49,4/4,P. kara,"65,000  €"
102,Rīga,Sarkandaugava,-,-,-,-,pērku 
103,Rīga,Iļģuciems Grīvas 11,2,44,4/5,Hrušč.,380  €/mēn.
104,Rīga,Jugla Murjāņu 151,2,44,2/4,Jaun.,"102,000  €"
105,Rīga,Āgenskalns M. Nometņu 11,1,25,2/3,P. kara,"18,500  €"
106,Rīga,centrs Stabu 31,4,108,6/6,P. kara,880  €/mēn.
107,Rīga,Mežciems Līduma 8A,2,76,1/5,Jaun.,"115,000  €"
108,Rīga,Ķengarags Maskavas 259-2,1,34,4/12,Čehu pr.,"45,000  €"
109,Rīga,centrs Matīsa 41A,2,46,2/5,P. kara,450  €/mēn.
110,Rīga,Iļģuciems Motoru 7,3,60,3/5,LT proj.,"66,800  €"
111,Rīga,Purvciems Dzelzavas 76,3,62,4/9,602.,420  €/mēn.
112,Rīga,Purvciems Ieriķu 39,2,45,4/5,Hrušč.,"39,000  €"
113,Rīga,centrs Stabu 58,2,50,1/5,P. kara,350  €/mēn.
114,Rīga,Teika Āraišu 18,2,56,2/3,Renov.,480  €/mēn.
115,Rīga,Teika Ropažu 14k1,2,43,5/9,Jaun.,550  €/mēn.
116,Rīga,Iļģuciems Spilves 25,3,72,6/15,Čehu pr.,"97,000  €"
117,Rīga,centrs Miesnieku 14,2,54,3/4,P. kara,35  €/dienā
118,Rīga,Šampēteris-Pleskodāle Zalves 44,1,28,2/3,Hrušč.,"28,000  €"
119,Rīga,Iļģuciems Vaidelotes 24,2,43,1/5,Hrušč.,"62,500  €"
120,Rīga,centrs Ganību d. 15A,2,60,2/6,P. kara,"84,000  €"
121,Rīga,Grīziņkalns Sapieru 3B,2,40,1/5,Jaun.,"95,000  €"
122,Rīga,centrs Ģertrūdes 110,2,48,4/6,P. kara,"39,000  €"
123,Rīga,Vecrīga Aldaru 9/1,2,65,3/5,P. kara,35  €/dienā
124,Rīga,centrs Katrīnas d. 24/K2,2,50,2/2,Staļina,"65,900  €"
125,Rīga,centrs Dainas 6,2,54,1/5,P. kara,400  €/mēn.
126,Rīga,centrs Strēlnieku 2A,5,178,2/6,P. kara,"1,500  €/mēn."
127,Rīga,Ķengarags Maltas 21,3,66,5/5,LT proj.,"60,000  €"
128,Rīga,centrs Čaka 45,3,57,1/3,P. kara,"72,500  €"
129,Rīga,Imanta Kooperatīva 4A,3,54,5/5,LT proj.,"55,000  €"
130,Rīga,Iļģuciems Dagmāras 4,3,76,4/4,P. kara,"52,000  €"
131,Rīga,Ķengarags Maltas 22,2,49,4/5,LT proj.,"39,000  €"
132,Rīga,Āgenskalns,3,-,-,-,vēlos īret 
133,Rīga,Imanta Slokas 136,4,73,8/9,602.,450  €/mēn.
134,Rīga,Imanta Zentenes 4,2,50,3/5,LT proj.,280  €/mēn.
135,Rīga,Ziepniekkalns Ozolciema 12-1,2,57,10/10,119.,300  €/mēn.
136,Rīga,Bolderāja,-,-,-,-,pērku 
137,Rīga,Purvciems Pūces 19,4,85,2/5,Jaun.,"229,000  €"
138,Rīga,Mežciems Kaivas 50,3,92,3/5,Jaun.,"123,000  €"
139,Rīga,Vecmīlgrāvis,1,-,-,-,pērku 
140,Rīga,Daugavgrīva,1,-,-,-,pērku 
141,Rīga,centrs Čaka 59,1,19,2/5,Specpr.,350  €/mēn.
142,Rīga,Āgenskalns,1,-,-,-,pērku 
143,Rīga,Teika Brīvības 354,1,27,1/4,Staļina,"36,800  €"
144,Rīga,Purvciems Mārcienas 2,1,43,5/9,119.,320  €/mēn.
145,Rīga,Iļģuciems Saulgožu 17,2,42,4/5,Hrušč.,"41,880  €"
146,Rīga,Aplokciems Briežu 9,1,27,4/6,Jaun.,330  €/mēn.
147,Rīga,Ķengarags Maskavas 279/2,3,-,2/4,-,pērku 
148,Rīga,Zasulauks Tapešu 19,2,46,2/5,Hrušč.,"45,000  €"
149,Rīga,Zolitūde Anniņmuižas 13,1,33,6/12,Jaun.,"52,000  €"
150,Rīga,Mežaparks Lībekas 21,2,36,2/3,Renov.,"72,000  €"
151,Rīga,Bolderāja Tekstilnieku 20,1,20,2/3,Renov.,100  €/mēn.
152,Rīga,centrs Čaka 35,2,69,4/6,P. kara,390  €/mēn.
153,Rīga,Āgenskalns Zvanu 15,3,73,1/2,P. kara,"95,000  €"
154,Rīga,Pļavnieki Lubānas 129,1,42,2/9,M. ģim.,"33,500  €"
155,Rīga,Teika Biķernieku 103,1,29,1/3,Staļina,"28,888  €"
156,Rīga,Purvciems Sesku 11 k-5,1,42,3/5,M. ģim.,210  €/mēn.
157,Rīga,centrs Lāčplēša 112A,4,94,5/5,P. kara,"99,000  €"
158,Rīga,centrs Matīsa 85,4,56,2/5,Renov.,"94,000  €"
159,Rīga,Āgenskalns Nomales 7,1,29,3/4,Hrušč.,"27,000  €"
160,Rīga,Imanta Kurzemes pr. 94,3,64,7/9,602.,"52,000  €"
161,Rīga,Ziepniekkalns Ozolciema 12 k-2,2,57,9/9,119.,"65,000  €"
162,Rīga,centrs Miera 9,2,46,5/6,P. kara,350  €/mēn.
163,Rīga,Iļģuciems Riekstu 17,2,50,1/1,LT proj.,380  €/mēn.
164,Rīga,centrs Ozolu 7,2,38,2/5,Specpr.,"57,000  €"
165,Rīga,Ķengarags Maskavas 279,2,45,3/5,LT proj.,"57,500  €"
166,Rīga,Ķengarags Maskavas 303,2,50,5/5,LT proj.,"48,900  €"
167,Rīga,Sarkandaugava Sliežu 35,2,45,3/5,Hrušč.,240  €/mēn.
168,Rīga,Purvciems Vējavas 10,4,79,7/9,602.,"61,500  €"
169,Rīga,Ķengarags Krustpils 77,2,49,2/3,Hrušč.,"30,000  €"
170,Rīga,Purvciems Deglava 57,3,76,1/6,119.,"58,000  €"
171,Rīga,Ziepniekkalns Stērstu 22,2,37,2/2,P. kara,"23,000  €"
172,Rīga,Teika Vairoga 27,4,92,5/5,103.,"97,900  €"
173,Rīga,Purvciems Stirnu 5,2,59,2/9,119.,"58,000  €"
174,Rīga,Iļģuciems Šauļu 1,2,50,5/5,LT proj.,"51,700  €"
175,Rīga,centrs Bruņinieku 96,1,21,2/5,P. kara,"35,000  €"
176,Rīga,Ķīpsala Balasta d. 72,3,122,1/4,Specpr.,"349,000  €"
177,Rīga,Maskavas priekšpilsēta Maskavas 163,3,66,2/6,P. kara,"70,000  €"
178,Rīga,Imanta Dammes 15,2,49,4/9,602.,320  €/mēn.
179,Rīga,Vecmīlgrāvis Vecmīlgrāvja 6. l. 2,3,76,2/4,Staļina,340  €/mēn.
180,Rīga,Ķengarags Maskavas 317,1,35,10/12,Čehu pr.,230  €/mēn.
181,Rīga,Čiekurkalns Čiekurkalna 4. šķ l. 1,1,42,3/9,Specpr.,230  €/mēn.
182,Rīga,centrs Čaka 117,2,59,4/6,P. kara,440  €/mēn.
183,Rīga,centrs Stabu 95k1,3,60,3/5,Renov.,"126,500  €"
184,Rīga,Purvciems Ķeguma 54,1,41,2/5,103.,340  €/mēn.
185,Rīga,centrs Dzirnavu 151,3,93,2/5,Staļina,"200,000  €"
186,Rīga,centrs Marijas 23,2,58,2/6,P. kara,"105,000  €"
187,Rīga,Purvciems Brantkalna 11,3,74,8/9,119.,"83,000  €"
188,Rīga,centrs Brīvības 164,2,47,2/5,P. kara,550  €/mēn.
189,Rīga,centrs Skolas 36,2,54,3/4,Renov.,750  €/mēn.
190,Rīga,centrs Barona 40,2,44,2/5,P. kara,280  €/mēn.
191,Rīga,centrs Gogoļa 13,2,44,4/5,P. kara,400  €/mēn.
192,Rīga,Imanta Anniņmuižas 41,3,94,8/21,Jaun.,"190,000  €"
193,Rīga,centrs Čaka 109,4,71,3/6,P. kara,"78,000  €"
194,Rīga,Iļģuciems,Citi,-,-,-,pērku 
195,Rīga,centrs Ādmiņu 5,2,58,2/3,P. kara,"88,000  €"
196,Rīga,Iļģuciems Lilijas 8,3,67,4/5,LT proj.,"66,900  €"
197,Rīga,Vecmīlgrāvis Emmas 14,1,11,1/3,Staļina,125  €/mēn.
198,Rīga,Purvciems Madonas 23,2,54,12/14,LT proj.,300  €/mēn.
199,Rīga,Aplokciems Briežu 7,1,24,3/6,Jaun.,320  €/mēn.
200,Rīga,centrs Visvalža 3a,2,47,4/5,Priv. m.,530  €/mēn.
201,Rīga,Imanta Kurzemes pr. 62,3,64,3/9,602.,400  €/mēn.
202,Rīga,centrs Kalpaka bulv. 7,3,82,3/6,Renov.,900  €/mēn.
203,Rīga,centrs Brīvības 21,3,144,6/6,Renov.,"444,500  €"
204,Rīga,Ķīpsala Ķīpsalas 49,2,71,1/3,Jaun.,"220,000  €"
205,Rīga,centrs Brīvības 154,3,70,2/6,P. kara,"130,000  €"
206,Rīga,Ķengarags Maltas 19,3,59,5/5,LT proj.,"41,000  €"
207,Rīga,centrs Laboratorijas 5,3,43,3/3,Jaun.,"119,800  €"
208,Rīga,Maskavas priekšpilsēta Maskavas 146,1,17,2/4,Specpr.,200  €/mēn.
209,Rīga,centrs Maskavas 85,2,47,1/4,Renov.,"88,800  €"
210,Rīga,Purvciems Ieriķu 33,2,47,2/5,LT proj.,220  €/mēn.
211,Rīga,centrs Maskavas 85,2,48,1/2,Renov.,"86,400  €"
212,Rīga,centrs Maskavas 85,1,31,1/2,Renov.,"57,350  €"
213,Rīga,Maskavas priekšpilsēta Maskavas 146,1,23,4/4,Specpr.,260  €/mēn.
214,Rīga,Maskavas priekšpilsēta Maskavas 146,1,23,2/4,Specpr.,260  €/mēn.
215,Rīga,Dzegužkalns Daugavgrīvas 70 k-4,3,61,5/5,Hrušč.,"62,000  €"
216,Rīga,Daugavgrīva Parādes 20A,2,41,1/5,Hrušč.,"29,500  €"
217,Rīga,centrs Stabu 68,1,36,1/2,P. kara,220  €/ned.
218,Rīga,Purvciems Mārcienas 2,4,89,3/9,119.,"107,700  €"
219,Rīga,Mežciems Eizenšteina 65,1,33,5/9,602.,270  €/mēn.
220,Rīga,Pļavnieki Ulbrokas 12 k-2,5,161,8/8,Jaun.,"297,000  €"
221,Rīga,centrs Kalpaka bulv. 7,2,44,1/6,Renov.,"120,000  €"
222,Rīga,Purvciems Ūnijas 74,3,128,3/4,Jaun.,"255,000  €"
223,Rīga,centrs Kalpaka bulv. 7,3,70,2/6,Renov.,"225,000  €"
224,Rīga,Imanta Slokas 195,2,51,3/5,LT proj.,"45,000  €"
225,Rīga,Purvciems Viršu 5,3,78,7/9,119.,"83,000  €"
226,Rīga,Jugla Brīvības 407,2,47,3/5,Specpr.,"54,000  €"
227,Rīga,Imanta Rigondas g. 8,3,63,3/9,602.,"48,500  €"
228,Rīga,Vecrīga Pils 18,3,109,4/5,P. kara,"320,000  €"
229,Rīga,Imanta Kurzemes pr. 56,3,54,5/5,LT proj.,"53,000  €"
230,Rīga,Mežaparks Kokneses pr. 4/1,2,69,3/12,Jaun.,"135,000  €"
231,Rīga,Ziepniekkalns Līvciema 37,2,43,2/2,Staļina,"47,000  €"
232,Rīga,centrs Raiņa bulv. 2,3,95,3/5,P. kara,"370,000  €"
233,Rīga,Dārzciems Dārzciema 131,3,63,1/5,Specpr.,"85,000  €"
234,Rīga,centrs Lāčplēša 36,3,85,3/6,Renov.,"135,000  €"
235,Rīga,Dārziņi Jāņogu 73,1,45,1/2,P. kara,"19,900  €"
236,Rīga,centrs Tērbatas 18,1,26,5/6,P. kara,350  €/mēn.
237,Rīga,Grīziņkalns Krāsotāju 13,1,31,4/5,Renov.,"53,210  €"
238,Rīga,Vecmīlgrāvis Edžiņa g. 5,3,68,1/5,LT proj.,"47,000  €"
239,Rīga,Sarkandaugava Alekša 11,1,25,1/4,P. kara,"28,530  €"
240,Rīga,centrs Dzirnavu 34,3,108,7/7,P. kara,"1,900  €/mēn."
241,Rīga,Cits,3,-,1/3,-,vēlos īret 
242,Rīga,Ķengarags Ķengaraga 5,1,30,3/5,LT proj.,"32,000  €"
243,Rīga,centrs Brīvības 159,1,25,3/4,P. kara,265  €/mēn.
244,Rīga,Vecmīlgrāvis Meldru 14,3,72,5/5,LT proj.,300  €/mēn.
245,Rīga,Ķengarags Salaspils 12,1,30,5/5,LT proj.,200  €/mēn.
246,Rīga,centrs Tallinas 33,2,50,5/5,P. kara,440  €/mēn.
247,Rīga,centrs Stabu 95,3,65,2/5,P. kara,560  €/mēn.
248,Rīga,Bolderāja Gobas 24,2,46,4/5,103.,"30,000  €"
249,Rīga,centrs Miera 17,4,79,5/6,P. kara,500  €/mēn.
250,Rīga,Iļģuciems Buļļu 42A,2,40,8/9,119.,330  €/mēn.
251,Rīga,centrs Alauksta 12,1,25,4/5,P. kara,285  €/mēn.
252,Rīga,centrs Zvaigžņu 26,1,33,3/6,Specpr.,400  €/mēn.
253,Rīga,Ziepniekkalns Sērenes 4,3,75,13/16,104.,460  €/mēn.
254,Rīga,centrs Kalpaka bulv. 7,2,66,3/6,Renov.,800  €/mēn.
255,Rīga,Ķengarags Maskavas 268,2,49,4/5,LT proj.,"35,000  €"
256,Rīga,Ziepniekkalns Kartupeļu 52,2,50,1/3,Hrušč.,250  €/mēn.
257,Rīga,Sarkandaugava Sarkandaugavas 11,3,61,5/9,602.,"59,500  €"
258,Rīga,centrs Kalpaka bulv. 7,2,71,1/6,Renov.,"220,000  €"
259,Rīga,Vecrīga Kaļķu 2,2,55,5/5,P. kara,380  €/mēn.
260,Rīga,Maskavas priekšpilsēta Maskavas 146,2,29,1/4,Jaun.,"51,500  €"
261,Rīga,centrs Kalpaka bulv. 7,2,84,1/6,Renov.,650  €/mēn.
262,Rīga,centrs Baznīcas 7,1,12,6/6,P. kara,250  €/mēn.
263,Rīga,Ķengarags Aglonas 4,2,49,4/5,LT proj.,"49,000  €"
264,Rīga,Purvciems Madonas 2,2,45,4/5,Jaun.,"85,000  €"
265,Rīga,Pļavnieki Pļavnieku 2D,1,46,8/16,104.,"46,000  €"
266,Rīga,Purvciems Dzelzavas 25,1,36,9/9,602.,"35,000  €"
267,Rīga,Mežciems Kaivas 50,1,32,1/5,Jaun.,"52,000  €"
268,Rīga,Zolitūde,Citi,-,-,-,pērku 
269,Rīga,Ziepniekkalns Vienības g. 87B,3,120,2/3,Renov.,"220,000  €"
270,Rīga,centrs Sadovņikova 31,2,37,3/7,Jaun.,429  €/mēn.
271,Rīga,Zasulauks Gregora 8,1,34,7/9,467.,320  €/mēn.
272,Rīga,Krasta r-ns Salacas 16,2,60,11/16,104.,"70,000  €"
273,Rīga,centrs Stabu 33,2,47,5/5,P. kara,520  €/mēn.
274,Rīga,Iļģuciems Riekstu 13,3,54,3/5,LT proj.,330  €/mēn.
275,Rīga,centrs Stabu 92,6,187,1/5,Renov.,"78,000  €"
276,Rīga,Pļavnieki Saharova 15,2,56,6/12,104.,"65,000  €"
277,Rīga,VEF Brīvības 226,1,36,5/5,Staļina,300  €/mēn.
278,Rīga,Purvciems Saktas 8,2,50,9/9,602.,"51,000  €"
279,Rīga,Vecrīga Vaļņu 3,2,53,5/6,P. kara,530  €/mēn.
280,Rīga,centrs Noliktavas 3,2,65,4/5,P. kara,250  €/mēn.
281,Rīga,Vecrīga Vaļņu 3,2,58,5/6,P. kara,580  €/mēn.
282,Rīga,Ķengarags Ķengaraga 10,2,36,3/5,Jaun.,400  €/mēn.
283,Rīga,Čiekurkalns Čiekurkalna 4. šķ l. 1,3,72,3/9,Specpr.,300  €/mēn.
284,Rīga,Ķengarags Ķengaraga 10,1,32,2/5,Jaun.,380  €/mēn.
285,Rīga,centrs Matīsa 18,3,72,4/5,P. kara,460  €/mēn.
286,Rīga,centrs Lāču 5,1,51,4/5,Jaun.,380  €/mēn.
287,Rīga,Ziepniekkalns,Citi,-,-,-,pērku 
288,Rīga,Klīversala Uzvaras bulv. 3a,2,46,4/5,Jaun.,420  €/mēn.
289,Rīga,centrs Čaka 117/1,2,44,3/6,Renov.,440  €/mēn.
290,Rīga,Purvciems Stirnu 5,3,77,5/9,119.,"66,995  €"
291,Rīga,centrs Gogoļa 13,3,75,5/5,P. kara,600  €/mēn.
292,Rīga,centrs Bruņinieku 94,1,25,1/4,P. kara,240  €/mēn.
293,Rīga,Zasulauks,Citi,-,-,-,pērku 
294,Rīga,Dzegužkalns Purva 27,2,56,2/3,P. kara,420  €/mēn.
295,Rīga,centrs Klijānu 16,1,23,2/9,Jaun.,350  €/mēn.
296,Rīga,Vecrīga Mārstaļu 25,2,80,2/4,Renov.,550  €/mēn.
297,Rīga,centrs Mārstaļu 25,2,80,2/4,Renov.,550  €/mēn.
298,Rīga,Vecrīga,Citi,-,-,-,pērku 
299,Rīga,Jugla Vidzemes al. 5,2,45,7/12,Čehu pr.,"57,000  €"
300,Rīga,Vecmīlgrāvis Melīdas 11,2,51,6/9,467.,"43,900  €"
301,Rīga,centrs Čaka 70,1,20,2/5,P. kara,20  €/dienā
302,Rīga,centrs Ganību d. 11,3,69,1/4,Jaun.,"1,200  €/mēn."
303,Rīga,centrs Zvaigžņu 24,1,25,5/6,P. kara,30  €/dienā
304,Rīga,Vecmīlgrāvis Skuju 29,2,50,1/4,Staļina,350  €/mēn.
305,Rīga,Teika Brīvības 209,1,34,4/6,P. kara,400  €/mēn.
306,Rīga,Mežciems Eizenšteina 45,3,60,5/9,602.,140  €/mēn.
307,Rīga,Vecmīlgrāvis Skuju 29,2,46,1/4,Staļina,310  €/mēn.
308,Rīga,Ķengarags Prūšu 17A,1,18,2/4,Hrušč.,"22,800  €"
309,Rīga,Āgenskalns Āgenskalna 22,3,54,1/5,Hrušč.,"52,000  €"
310,Rīga,Imanta Kurzemes pr. 124,1,36,7/9,602.,250  €/mēn.
311,Rīga,Vecmīlgrāvis Edžiņa g. 7,3,56,2/5,LT proj.,"49,000  €"
312,Rīga,Bolderāja Stagaru 4,1,41,3/5,Specpr.,200  €/mēn.
313,Rīga,Mežciems Hipokrāta 22,3,66,5/5,Jaun.,"159,500  €"
314,Rīga,centrs Elizabetes 89,2,43,3/4,Renov.,500  €/mēn.
315,Rīga,Ķengarags Ikšķiles 2,2,50,6/9,467.,"41,500  €"
316,Rīga,centrs Vēžu 14,3,92,6/6,Jaun.,"1,750  €/mēn."
317,Rīga,Dārziņi,Citi,-,-,-,pērku 
318,Rīga,Krasta r-ns,Citi,-,-,-,pērku 
319,Rīga,centrs Avotu 15,4,98,2/3,P. kara,"69,000  €"
320,Rīga,centrs Elizabetes 89,2,36,5/5,Renov.,500  €/mēn.
321,Rīga,centrs Skolas 13,3,95,2/6,P. kara,950  €/mēn.
322,Rīga,Bolderāja Dolomīta 2,2,50,5/5,Hrušč.,"42,000  €"
323,Rīga,Purvciems Dzelzavas 106,4,72,4/7,Jaun.,"179,000  €"
324,Rīga,Purvciems Dzelzavas 106,2,41,6/7,Jaun.,"104,900  €"
325,Rīga,Mežciems Eizenšteina 47a,4,87,4/10,Jaun.,"195,900  €"
326,Rīga,Ķengarags Aviācijas 9,4,75,1/5,LT proj.,"78,000  €"
327,Rīga,Ķengarags Maskavas 260/1,2,46,2/5,LT proj.,"48,999  €"
328,Rīga,Imanta Kurzemes pr. 112,2,49,1/5,LT proj.,"42,950  €"
329,Rīga,centrs Avotu 9,2,76,1/4,P. kara,480  €/mēn.
330,Rīga,Iļģuciems Vaidelotes 23,2,45,2/5,Hrušč.,"45,000  €"
331,Rīga,Torņakalns Garozes 18,1,43,3/5,M. ģim.,"38,000  €"
332,Rīga,centrs Sadovņikova 39a,2,45,5/5,P. kara,330  €/mēn.
333,Rīga,centrs Skanstes 29a,3,110,10/24,Jaun.,"1,500  €/mēn."
